,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Aguimes,ES,2020-04-20 01:51:22,27.91,-15.45,64.4,63,40,12.75,scattered clouds,0.0,0.0
1,Itarema,BR,2020-04-20 01:51:22,-2.92,-39.92,77.07,87,21,1.95,few clouds,0.0,0.0
2,Kodiak,US,2020-04-20 01:51:22,57.79,-152.41,46.4,75,90,12.75,overcast clouds,0.0,0.0
3,Clyde River,CA,2020-04-20 01:51:23,70.47,-68.59,-4.0,76,1,4.7,clear sky,0.0,0.0
4,Mombasa,KE,2020-04-20 01:51:23,-4.05,39.66,77.2,83,97,11.12,light rain,0.94,0.0
5,Ushuaia,AR,2020-04-20 01:51:23,-54.8,-68.3,41.0,80,40,27.51,scattered clouds,0.0,0.0
6,Hobart,AU,2020-04-20 01:51:23,-42.88,147.33,63.0,63,75,12.75,broken clouds,0.0,0.0
7,Arraial Do Cabo,BR,2020-04-20 01:51:24,-22.97,-42.03,72.48,73,75,2.57,broken clouds,0.0,0.0
8,Rikitea,PF,2020-04-20 01:51:24,-23.12,-134.97,76.84,71,93,6.76,overcast clouds,0.0,0.0
9,Sioux Lookout,CA,2020-04-20 01:51:24,50.1,-91.92,35.6,50,90,13.87,overcast clouds,0.0,0.0
10,Husavik,IS,2020-04-20 01:51:24,66.04,-17.34,44.6,70,20,26.4,few clouds,0.0,0.0
11,Bluff,NZ,2020-04-20 01:51:25,-46.6,168.33,57.99,60,70,8.99,light rain,0.23,0.0
12,Vejprnice,CZ,2020-04-20 01:51:25,49.73,13.28,41.0,60,0,6.93,clear sky,0.0,0.0
13,Macroom,IE,2020-04-20 01:51:25,51.9,-8.95,46.99,87,54,8.05,broken clouds,0.0,0.0
14,Hilo,US,2020-04-20 01:51:25,19.73,-155.09,80.6,51,1,12.75,clear sky,0.0,0.0
15,Pochutla,MX,2020-04-20 01:51:26,15.74,-96.47,82.0,81,3,3.38,clear sky,0.0,0.0
16,Shostka,UA,2020-04-20 01:51:26,51.86,33.47,31.5,92,0,7.31,clear sky,0.0,0.0
17,Bokoro,TD,2020-04-20 01:51:26,12.38,17.06,78.75,16,22,7.16,few clouds,0.0,0.0
18,Barrow,US,2020-04-20 01:51:26,71.29,-156.79,12.2,78,90,5.82,light snow,0.0,0.0
19,Roma,US,2020-04-20 01:51:26,43.21,-75.46,45.0,93,90,5.82,light rain,0.0,0.0
20,Tongzi,CN,2020-04-20 01:51:27,28.78,105.09,66.36,66,86,5.5,light rain,0.16,0.0
21,San Patricio,MX,2020-04-20 01:47:10,19.22,-104.7,75.2,78,5,17.22,clear sky,0.0,0.0
22,Norman Wells,CA,2020-04-20 01:51:27,65.28,-126.83,30.2,58,75,3.15,broken clouds,0.0,0.0
23,Tasiilaq,GL,2020-04-20 01:51:27,65.61,-37.64,32.0,90,100,3.36,overcast clouds,0.0,0.0
24,Saint-Philippe,RE,2020-04-20 01:51:28,-21.36,55.77,73.4,78,75,11.41,broken clouds,0.0,0.0
25,Yellowknife,CA,2020-04-20 01:51:28,62.46,-114.35,24.8,58,40,21.92,scattered clouds,0.0,0.0
26,Hithadhoo,MV,2020-04-20 01:51:28,-0.6,73.08,84.88,76,100,11.5,overcast clouds,0.0,0.0
27,Mishan,CN,2020-04-20 01:51:28,45.55,131.88,48.74,53,100,15.7,overcast clouds,0.0,0.0
28,Isla Mujeres,MX,2020-04-20 01:51:29,21.23,-86.73,82.4,78,40,12.75,scattered clouds,0.0,0.0
29,Georgetown,MY,2020-04-20 01:50:05,5.41,100.34,87.8,83,20,2.91,few clouds,0.0,0.0
30,Busselton,AU,2020-04-20 01:47:47,-33.65,115.33,69.01,42,95,22.88,light rain,0.13,0.0
31,Lebu,CL,2020-04-20 01:51:30,-37.62,-73.65,55.58,72,100,9.01,overcast clouds,0.0,0.0
32,Taltal,CL,2020-04-20 01:51:30,-25.4,-70.48,59.65,74,0,1.23,clear sky,0.0,0.0
33,Tiksi,RU,2020-04-20 01:51:31,71.69,128.87,18.86,92,100,6.04,overcast clouds,0.0,0.0
34,Gat,IL,2020-04-20 01:51:31,31.61,34.76,62.01,75,0,1.99,clear sky,0.0,0.0
35,Ugoofaaru,MV,2020-04-20 01:48:37,5.67,73.0,86.09,71,45,8.75,scattered clouds,0.0,0.0
36,Bangkalan,ID,2020-04-20 01:51:31,-7.05,112.74,89.1,64,70,2.33,light rain,0.11,0.0
37,Ocampo,MX,2020-04-20 01:51:31,21.65,-101.5,68.11,16,0,7.7,clear sky,0.0,0.0
38,Avarua,CK,2020-04-20 01:51:32,-21.21,-159.78,82.4,69,3,9.17,clear sky,0.0,0.0
39,New Norfolk,AU,2020-04-20 01:51:32,-42.78,147.06,63.0,86,98,9.69,light rain,1.35,0.0
40,Victor Harbor,AU,2020-04-20 01:51:32,-35.57,138.62,66.99,57,43,8.99,scattered clouds,0.0,0.0
41,Igrim,RU,2020-04-20 01:51:32,63.19,64.42,36.1,87,68,8.63,broken clouds,0.0,0.0
42,Thompson,CA,2020-04-20 01:51:33,55.74,-97.86,21.2,85,90,9.17,light snow,0.0,0.0
43,Tolaga Bay,NZ,2020-04-20 01:51:33,-38.37,178.3,67.86,61,100,4.68,overcast clouds,0.0,0.0
44,Kruisfontein,ZA,2020-04-20 01:51:33,-34.0,24.73,60.62,74,0,5.37,clear sky,0.0,0.0
45,Kurilsk,RU,2020-04-20 01:51:33,45.23,147.88,37.15,77,100,13.96,overcast clouds,0.0,0.0
46,Dingle,PH,2020-04-20 01:47:00,11.0,122.67,89.37,60,98,13.8,light rain,0.31,0.0
47,Aklavik,CA,2020-04-20 01:51:34,68.22,-135.01,23.0,53,90,3.36,overcast clouds,0.0,0.0
48,San Carlos De Bariloche,AR,2020-04-20 01:51:07,-41.15,-71.31,48.2,66,40,18.34,scattered clouds,0.0,0.0
49,Qaanaaq,GL,2020-04-20 01:51:34,77.48,-69.36,9.43,82,39,11.48,scattered clouds,0.0,0.0
50,Davidson,US,2020-04-20 01:51:08,36.15,-86.78,53.6,81,90,6.93,overcast clouds,0.0,0.0
51,Bengkulu,ID,2020-04-20 01:51:35,-3.8,102.27,86.95,62,60,2.71,broken clouds,0.0,0.0
52,Saint-Denis,FR,2020-04-20 01:50:23,48.92,2.33,55.0,87,81,6.93,mist,0.0,0.0
53,Cidreira,BR,2020-04-20 01:51:36,-30.18,-50.21,66.7,86,0,15.21,clear sky,0.0,0.0
54,Atuona,PF,2020-04-20 01:51:36,-9.8,-139.03,82.72,75,45,12.82,scattered clouds,0.0,0.0
55,Cervo,ES,2020-04-20 01:51:36,43.67,-7.41,48.0,1,68,2.73,broken clouds,0.0,0.0
56,Oranjemund,NA,2020-04-20 01:51:36,-28.55,16.43,57.58,92,34,2.1,scattered clouds,0.0,0.0
57,Iqaluit,CA,2020-04-20 01:51:36,63.75,-68.51,-4.0,76,20,4.7,few clouds,0.0,0.0
58,Albany,US,2020-04-20 01:47:59,42.6,-73.97,51.01,61,94,10.0,light rain,1.98,0.0
59,Codrington,AU,2020-04-20 01:51:37,-38.27,141.97,61.39,54,19,21.23,few clouds,0.0,0.0
60,Cherskiy,RU,2020-04-20 01:51:37,68.75,161.3,12.81,94,100,8.32,light snow,0.0,0.13
61,Takhli,TH,2020-04-20 01:51:38,15.26,100.34,90.0,68,27,1.01,scattered clouds,0.0,0.0
62,Erdenet,MN,2020-04-20 01:51:38,49.03,104.08,29.16,43,51,16.46,broken clouds,0.0,0.0
63,Talara,PE,2020-04-20 01:51:38,-4.58,-81.27,74.7,72,99,11.39,overcast clouds,0.0,0.0
64,Yumen,CN,2020-04-20 01:51:38,40.28,97.2,51.31,19,75,16.33,broken clouds,0.0,0.0
65,Lang Son,VN,2020-04-20 01:51:38,21.83,106.73,78.98,69,100,5.77,overcast clouds,0.0,0.0
66,Ostrovnoy,RU,2020-04-20 01:51:39,68.05,39.51,24.48,97,46,6.55,scattered clouds,0.0,0.0
67,Mataura,NZ,2020-04-20 01:51:39,-46.19,168.86,57.99,60,90,8.99,overcast clouds,0.0,0.0
68,Andenes,NO,2020-04-20 01:51:39,69.31,16.12,41.0,93,99,18.34,light rain,0.11,0.0
69,Kaeo,NZ,2020-04-20 01:47:03,-35.1,173.78,62.01,95,100,1.99,moderate rain,6.23,0.0
70,Asau,RO,2020-04-20 01:51:40,46.43,26.4,46.4,70,75,16.11,broken clouds,0.0,0.0
71,Cabra,ES,2020-04-20 01:51:40,37.47,-4.44,55.0,81,48,2.24,scattered clouds,0.0,0.0
72,Hamilton,US,2020-04-20 01:49:06,39.18,-84.53,51.8,81,1,3.83,clear sky,0.0,0.0
73,Comodoro Rivadavia,AR,2020-04-20 01:51:40,-45.87,-67.5,53.6,50,0,20.8,clear sky,0.0,0.0
74,Tynda,RU,2020-04-20 01:51:41,55.17,124.72,23.74,75,96,16.17,overcast clouds,0.0,0.0
75,Pangnirtung,CA,2020-04-20 01:51:41,66.15,-65.71,-0.81,79,18,6.02,few clouds,0.0,0.0
76,Port Alfred,ZA,2020-04-20 01:51:41,-33.59,26.89,69.01,67,0,4.0,clear sky,0.0,0.0
77,San Carlos,VE,2020-04-20 01:51:42,9.66,-68.58,77.61,71,16,1.07,light rain,0.42,0.0
78,Nikolskoye,RU,2020-04-20 01:51:42,59.7,30.79,37.4,94,37,4.47,scattered clouds,0.0,0.0
79,Vaini,TO,2020-04-20 01:51:42,-21.2,-175.2,84.2,74,20,11.41,few clouds,0.0,0.0
80,Lagoa,PT,2020-04-20 01:51:42,39.05,-27.98,56.79,60,0,13.04,clear sky,0.0,0.0
81,Chokurdakh,RU,2020-04-20 01:51:43,70.63,147.92,9.68,95,92,11.48,overcast clouds,0.0,0.0
82,Lorengau,PG,2020-04-20 01:51:43,-2.02,147.27,84.49,74,33,6.35,light rain,0.66,0.0
83,Tamandare,BR,2020-04-20 01:51:43,-8.76,-35.1,79.86,82,43,7.72,light rain,2.33,0.0
84,Itoman,JP,2020-04-20 01:51:43,26.12,127.67,66.2,93,75,10.29,light intensity shower rain,0.0,0.0
85,Bambous Virieux,MU,2020-04-20 01:51:44,-20.34,57.76,77.0,83,75,12.75,broken clouds,0.0,0.0
86,Oudtshoorn,ZA,2020-04-20 01:51:44,-33.59,22.2,55.4,87,0,2.24,clear sky,0.0,0.0
87,Dikson,RU,2020-04-20 01:51:44,73.51,80.55,33.6,94,86,17.05,overcast clouds,0.0,0.0
88,Sept-Iles,CA,2020-04-20 01:51:45,50.2,-66.38,32.0,98,90,10.29,light snow,0.0,0.0
89,Punta Arenas,CL,2020-04-20 01:51:45,-53.15,-70.92,41.0,65,40,14.99,scattered clouds,0.0,0.0
90,Tuatapere,NZ,2020-04-20 01:47:18,-46.13,167.68,57.99,60,16,7.0,few clouds,0.0,0.0
91,Coihaique,CL,2020-04-20 01:49:18,-45.58,-72.07,41.0,86,42,2.24,scattered clouds,0.0,0.0
92,Victoria,HK,2020-04-20 01:51:45,22.29,114.16,82.0,82,22,4.0,few clouds,0.0,0.0
93,East London,ZA,2020-04-20 01:51:46,-33.02,27.91,76.21,54,0,10.85,clear sky,0.0,0.0
94,Touros,BR,2020-04-20 01:51:46,-5.2,-35.46,77.0,94,40,4.7,scattered clouds,0.0,0.0
95,Carahue,CL,2020-04-20 01:51:46,-38.7,-73.17,53.6,87,88,1.77,overcast clouds,0.0,0.0
96,Springfield,US,2020-04-20 01:48:58,37.22,-93.3,61.0,67,75,7.02,broken clouds,0.0,0.0
97,Mayo,US,2020-04-20 01:50:36,38.89,-76.51,55.4,76,1,6.93,clear sky,0.0,0.0
98,Hermanus,ZA,2020-04-20 01:51:47,-34.42,19.23,60.01,95,9,12.01,clear sky,0.0,0.0
99,Ribeira Grande,PT,2020-04-20 01:51:47,38.52,-28.7,56.26,58,2,7.27,clear sky,0.0,0.0
100,Ponta Do Sol,PT,2020-04-20 01:48:21,32.67,-17.1,60.01,70,9,14.0,clear sky,0.0,0.0
101,Cookeville,US,2020-04-20 01:51:47,36.16,-85.5,54.0,81,90,4.7,moderate rain,0.0,0.0
