,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Itarema,BR,77.07,few clouds,-2.92,-39.92,Windvillage
8,Rikitea,PF,76.84,overcast clouds,-23.12,-134.97,Pension Maro'i
17,Bokoro,TD,78.75,few clouds,12.38,17.06,
21,San Patricio,MX,75.2,clear sky,19.22,-104.7,Hotel Cabo Blanco
65,Lang Son,VN,78.98,overcast clouds,21.83,106.73,KHAINGAHOTEL
85,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
93,East London,ZA,76.21,clear sky,-33.02,27.91,Tu Casa
94,Touros,BR,77.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
102,Bubaque,GW,77.59,scattered clouds,11.28,-15.83,Casa Dora
104,Port Elizabeth,ZA,75.2,clear sky,-33.92,25.57,39 On Nile Guest House
117,Tessalit,ML,78.04,clear sky,20.2,1.01,
134,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
153,Igbo Ora,NG,77.38,overcast clouds,7.43,3.28,Pinkbell Inn
168,Panaba,MX,78.44,clear sky,21.28,-88.27,Hotel California
182,Le Port,RE,75.2,few clouds,-20.94,55.29,Villa Maido
194,Puerto Baquerizo Moreno,EC,78.19,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
196,Tchaourou,BJ,76.21,overcast clouds,8.89,2.6,SAFIR HOTEL
203,Quatre Cocos,MU,77.0,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
217,Carnarvon,AU,75.2,broken clouds,-24.87,113.63,Hospitality Carnarvon
234,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
243,Cap Malheureux,MU,77.0,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
262,Babu,CN,76.14,overcast clouds,24.42,111.52,IU Hotel Hezhou Bus Terminal
277,Monrovia,LR,78.8,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
278,Cockburn Town,TC,79.21,scattered clouds,21.46,-71.14,Osprey Beach Hotel
298,Bembereke,BJ,76.57,overcast clouds,10.23,2.66,Hotel Bio Guera
303,Ormara,PK,79.81,scattered clouds,25.21,64.64,
326,Minab,IR,75.2,mist,27.15,57.08,فروشگاه موبایل ترکمانی
328,Carutapera,BR,79.12,scattered clouds,-1.2,-46.02,Lidera
340,Barahona,DO,77.77,few clouds,18.21,-71.1,Hotel Caribe
348,Ballina,AU,77.0,broken clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
352,Alcantara,BR,78.8,scattered clouds,-2.41,-44.41,Pousada da Josefa
356,Ixtapa,MX,75.2,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
367,Puerto Escondido,MX,78.98,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
375,Noumea,NC,78.01,moderate rain,-22.28,166.46,Hôtel Le Lagon
377,Lubbock,US,75.2,few clouds,33.6,-101.83,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
384,Garowe,SO,76.35,broken clouds,8.41,48.48,Curubo Hotel
410,Dafeng,CN,78.71,overcast clouds,23.45,108.59,Shenglong Hotel
451,Yenagoa,NG,76.26,overcast clouds,4.92,6.26,Amba Hotels Limited
465,Cayenne,GF,77.0,mist,4.93,-52.33,Hôtel Le Dronmi
483,Tutoia,BR,78.98,broken clouds,-2.76,-42.27,Pousada Guará's
488,Araouane,ML,79.32,clear sky,18.9,-3.53,
519,Jurado,CO,77.67,overcast clouds,7.11,-77.76,
526,Sabha,LY,77.22,overcast clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
542,Las Vegas,US,78.8,clear sky,36.17,-115.14,Plaza Hotel & Casino
563,Soe,ID,79.12,clear sky,-9.86,124.28,Dena Hotel
570,Samba,IN,75.56,overcast clouds,32.57,75.12,"Vishal Guest House, Samba"
582,Belmonte,BR,77.0,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
