City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-04-16 08:09:23,-53.15,-70.92,46.4,87,40,8.05
1,Nadvoitsy,RU,2020-04-16 08:13:13,63.87,34.32,32.74,92,100,14.07
2,Tual,ID,2020-04-16 08:10:39,-5.67,132.75,83.95,74,89,6.49
3,Moletai,LT,2020-04-16 08:13:15,55.23,25.42,44.01,87,90,17.22
4,Bluff,NZ,2020-04-16 08:13:15,-46.6,168.33,50.0,81,100,11.01
5,Hasaki,JP,2020-04-16 08:10:47,35.73,140.83,52.0,66,75,11.41
6,Emerald,AU,2020-04-16 08:12:23,-23.53,148.17,86.0,35,0,3.36
7,Shestakovo,RU,2020-04-16 08:13:16,56.49,103.96,58.33,31,34,1.66
8,Campodarsego,IT,2020-04-16 08:13:17,45.51,11.92,60.01,58,86,2.24
9,Victoria,HK,2020-04-16 08:05:51,22.29,114.16,78.8,54,20,6.93
10,Xinzhi,CN,2020-04-16 08:13:18,36.5,111.7,66.96,20,0,17.78
11,Atuona,PF,2020-04-16 08:05:51,-9.8,-139.03,82.44,73,74,9.71
12,Norman Wells,CA,2020-04-16 08:06:00,65.28,-126.83,32.0,88,75,2.24
13,Akyab,MM,2020-04-16 08:13:19,20.15,92.9,87.31,59,0,14.67
14,Provideniya,RU,2020-04-16 08:10:35,64.38,-173.3,26.55,97,100,9.28
15,Vicuna,CL,2020-04-16 08:13:20,-30.03,-70.71,55.4,82,93,5.82
16,Barrow,US,2020-04-16 08:09:52,71.29,-156.79,23.0,85,90,8.05
17,Esso,RU,2020-04-16 08:13:21,55.93,158.7,22.37,90,96,2.26
18,Hermanus,ZA,2020-04-16 08:07:49,-34.42,19.23,68.0,74,4,1.01
19,Nacozari,MX,2020-04-16 08:13:21,25.34,-108.26,62.8,55,21,3.58
20,Dumfries,US,2020-04-16 08:11:56,38.57,-77.33,46.0,56,90,9.17
21,Svobodnyy,RU,2020-04-16 08:10:30,51.4,128.13,57.56,30,0,5.32
22,Vardo,NO,2020-04-16 08:09:58,70.37,31.11,32.0,83,100,5.82
23,Tautira,PF,2020-04-16 08:08:51,-17.73,-149.15,82.4,69,90,3.36
24,Keskin,TR,2020-04-16 08:13:22,39.67,33.61,51.01,62,84,5.99
25,Mar Del Plata,AR,2020-04-16 08:10:20,-38.0,-57.56,51.01,89,21,5.01
26,Snasa,NO,2020-04-16 08:13:23,64.25,12.38,35.6,84,75,13.87
27,New Norfolk,AU,2020-04-16 08:09:30,-42.78,147.06,55.4,47,20,17.22
28,Pavlovsk,RU,2020-04-16 08:13:24,50.46,40.11,44.19,62,100,17.56
29,Codrington,AU,2020-04-16 08:12:26,-38.27,141.97,57.4,64,80,16.89
30,Sao Joao Da Barra,BR,2020-04-16 08:09:55,-21.64,-41.05,73.0,89,100,6.17
31,Bambous Virieux,MU,2020-04-16 08:09:20,-20.34,57.76,82.4,65,75,11.41
32,Longyearbyen,SJ,2020-04-16 08:10:32,78.22,15.64,37.4,64,40,14.99
33,Lebu,CL,2020-04-16 08:11:14,-37.62,-73.65,54.07,91,21,7.45
34,Karratha,AU,2020-04-16 08:13:26,-20.74,116.85,90.64,46,14,14.23
35,Byron Bay,AU,2020-04-16 08:13:26,-28.65,153.62,80.6,73,41,11.41
